id,prediction
800000,0.117201536
800001,0.28886009
800002,0.463947817
800003,0.282941869
800004,0.3875978
800005,0.025907946
800006,0.328427686
800007,0.036102152
800008,0.477515889
800009,0.039281674
800010,0.396624583
800011,0.337729196
800012,0.326908412
800013,0.186877983
800014,0.156273663
800015,0.129824405
800016,0.166549706
800017,0.177683154
800018,0.039235062
800019,0.233975085
800020,0.069900363
800021,0.062610228
800022,0.26647384
800023,0.055593484
800024,0.214809018
800025,0.133838488
800026,0.03210476
800027,0.170987924
800028,0.20604826
800029,0.177994823
800030,0.078548104
800031,0.102527995
800032,0.090125475
800033,0.149499311
800034,0.624164599
800035,0.380660221
800036,0.053245132
800037,0.162443004
800038,0.107557413
800039,0.098284021
800040,0.359382774
800041,0.200009638
800042,0.014342084
800043,0.252103863
800044,0.049211645
800045,0.108916415
800046,0.13429477
800047,0.116011174
800048,0.118736751
800049,0.246199987
800050,0.331143145
800051,0.198381984
800052,0.028088738
800053,0.399975904
800054,0.604497055
800055,0.215093379
800056,0.528923366
800057,0.206642927
800058,0.657544709
800059,0.219952902
800060,0.492857718
800061,0.055263484
800062,0.129167511
800063,0.211622537
800064,0.063026419
800065,0.125211761
800066,0.301299433
800067,0.123114288
800068,0.126088188
800069,0.062635135
800070,0.12022005
800071,0.023321263
800072,0.078617821
800073,0.093507362
800074,0.027441857
800075,0.124261968
800076,0.04152624
800077,0.213846919
800078,0.285939901
800079,0.260951848
800080,0.415628599
800081,0.074524889
800082,0.341137264
800083,0.45885759
800084,0.304930751
800085,0.300001485
800086,0.127476104
800087,0.116303508
800088,0.149695233
800089,0.142974523
800090,0.204593554
800091,0.459186842
800092,0.03420493
800093,0.063006548
800094,0.09132952
800095,0.102796888
800096,0.104664276
800097,0.422862528
800098,0.210695671
800099,0.173046639
800100,0.20598904
800101,0.159023611
800102,0.112644405
800103,0.173512408
800104,0.060756456
800105,0.406067564
800106,0.129278894
800107,0.182846772
800108,0.157687178
800109,0.2618716
800110,0.213549449
800111,0.34482809
800112,0.111899586
800113,0.071976841
800114,0.125002703
800115,0.105563625
800116,0.3918994
800117,0.263598368
800118,0.177277314
800119,0.073155435
800120,0.196700206
800121,0.118680626
800122,0.220437136
800123,0.36249345
800124,0.305564777
800125,0.207529646
800126,0.153664979
800127,0.199593841
800128,0.176267699
800129,0.16910767
800130,0.278315425
800131,0.278317879
800132,0.140096574
800133,0.033714223
800134,0.39973912
800135,0.038697005
800136,0.037258746
800137,0.156964977
800138,0.227523374
800139,0.147672443
800140,0.180557569
800141,0.207139765
800142,0.250096291
800143,0.066251731
800144,0.237829844
800145,0.272799897
800146,0.112330752
800147,0.136348581
800148,0.082418275
800149,0.322161678
800150,0.113755524
800151,0.02744537
800152,0.069944284
800153,0.085648736
800154,0.29625979
800155,0.04950145
800156,0.124586376
800157,0.163777426
800158,0.100327207
800159,0.066955617
800160,0.312098247
800161,0.150476006
800162,0.063197689
800163,0.076616156
800164,0.230862229
800165,0.06679183
800166,0.385562711
800167,0.380882931
800168,0.052597501
800169,0.106578802
800170,0.093183254
800171,0.059802551
800172,0.066135888
800173,0.185057913
800174,0.225246976
800175,0.173996413
800176,0.407400304
800177,0.15296249
800178,0.051414756
800179,0.038636387
800180,0.337804315
800181,0.275745092
800182,0.628221492
800183,0.161546603
800184,0.216325331
800185,0.118217235
800186,0.092607532
800187,0.102666794
800188,0.149196836
800189,0.040953633
800190,0.246176508
800191,0.050345549
800192,0.113266619
800193,0.383411188
800194,0.121692312
800195,0.050891078
800196,0.125394294
800197,0.264131862
800198,0.142919
800199,0.177662304
800200,0.307655092
800201,0.101759572
800202,0.192629924
800203,0.37720416
800204,0.085540232
800205,0.28360607
800206,0.072753752
800207,0.214771257
800208,0.158547377
800209,0.326166092
800210,0.155924852
800211,0.329578189
800212,0.549421605
800213,0.441537571
800214,0.036792027
800215,0.120248006
800216,0.364505979
800217,0.051803635
800218,0.648172903
800219,0.205133757
800220,0.275512239
800221,0.168086049
800222,0.129113902
800223,0.112353694
800224,0.136573243
800225,0.042953912
800226,0.024700459
800227,0.417615449
800228,0.21940366
800229,0.137984721
800230,0.269072342
800231,0.083097598
800232,0.152404401
800233,0.084709494
800234,0.05720025
800235,0.640750945
800236,0.314572805
800237,0.086614178
800238,0.076016289
800239,0.169123155
800240,0.212266422
800241,0.150975282
800242,0.198888528
800243,0.133560919
800244,0.139960229
800245,0.307355876
800246,0.400552968
800247,0.016649719
800248,0.252046287
800249,0.100592344
800250,0.320594945
800251,0.231622632
800252,0.412332836
800253,0.175672966
800254,0.133031359
800255,0.19340355
800256,0.1168509
800257,0.139676981
800258,0.480290649
800259,0.239797553
800260,0.348013875
800261,0.278620105
800262,0.261290738
800263,0.100124739
800264,0.463086436
800265,0.026298464
800266,0.019809263
800267,0.182309017
800268,0.308128714
800269,0.484675528
800270,0.347266311
800271,0.15346055
800272,0.166610254
800273,0.135776292
800274,0.328631386
800275,0.051376629
800276,0.201026579
800277,0.373885833
800278,0.071810493
800279,0.347098693
800280,0.220697056
800281,0.307900521
800282,0.075776155
800283,0.310581148
800284,0.137847663
800285,0.244721934
800286,0.116933081
800287,0.44426912
800288,0.288291063
800289,0.188623201
800290,0.156114004
800291,0.229235355
800292,0.267701917
800293,0.552191561
800294,0.312074551
800295,0.219301679
800296,0.319335726
800297,0.15009436
800298,0.084185016
800299,0.021849955
800300,0.1614097
800301,0.144584355
800302,0.203777391
800303,0.238753925
800304,0.32162959
800305,0.330537246
800306,0.223833923
800307,0.154282196
800308,0.602946204
800309,0.230714724
800310,0.181797398
800311,0.197543211
800312,0.260901668
800313,0.285481482
800314,0.027584938
800315,0.05907576
800316,0.106435739
800317,0.124124432
800318,0.24374612
800319,0.263061814
800320,0.090012162
800321,0.214217386
800322,0.109107057
800323,0.152643044
800324,0.270008113
800325,0.136278637
800326,0.167639536
800327,0.04934799
800328,0.214674317
800329,0.053365775
800330,0.190732113
800331,0.249025598
800332,0.048128916
800333,0.028034247
800334,0.366647205
800335,0.250241419
800336,0.284801368
800337,0.166222368
800338,0.528372742
800339,0.101212901
800340,0.038319891
800341,0.042796712
800342,0.241072059
800343,0.038163373
800344,0.260953866
800345,0.149038778
800346,0.163611257
800347,0.068978271
800348,0.306569747
800349,0.100857558
800350,0.262822165
800351,0.241638419
800352,0.394174956
800353,0.26765146
800354,0.186006239
800355,0.145236431
800356,0.332461277
800357,0.368722408
800358,0.127699507
800359,0.155360761
800360,0.351877964
800361,0.023954855
800362,0.212303766
800363,0.402309662
800364,0.169386678
800365,0.236366938
800366,0.34359394
800367,0.283829777
800368,0.205845277
800369,0.175336609
800370,0.15811051
800371,0.175212455
800372,0.4482245
800373,0.259920574
800374,0.261231055
800375,0.078451932
800376,0.150446578
800377,0.164243083
800378,0.059038127
800379,0.094028911
800380,0.129271582
800381,0.059115694
800382,0.468793668
800383,0.26372349
800384,0.12488089
800385,0.388973959
800386,0.152154624
800387,0.118521719
800388,0.158171017
800389,0.290417501
800390,0.037373817
800391,0.162238462
800392,0.193328539
800393,0.320964274
800394,0.34320929
800395,0.206482733
800396,0.327848696
800397,0.102975119
800398,0.149108529
800399,0.075790332
800400,0.167510251
800401,0.114348977
800402,0.054640763
800403,0.156339238
800404,0.136317502
800405,0.384532792
800406,0.064949137
800407,0.427086208
800408,0.250505749
800409,0.429723797
800410,0.046647835
800411,0.037439296
800412,0.077929478
800413,0.325953615
800414,0.195555006
800415,0.104137423
800416,0.099836106
800417,0.122223092
800418,0.095283135
800419,0.169252062
800420,0.37421492
800421,0.183612974
800422,0.237434145
800423,0.274474821
800424,0.13250489
800425,0.090086898
800426,0.095264732
800427,0.239930798
800428,0.187884928
800429,0.182570007
800430,0.282012432
800431,0.314995942
800432,0.162187501
800433,0.107984556
800434,0.135438783
800435,0.237793074
800436,0.293069289
800437,0.156015683
800438,0.234774375
800439,0.423901822
800440,0.141585493
800441,0.207466613
800442,0.09291299
800443,0.076634132
800444,0.165684251
800445,0.09323219
800446,0.183216595
800447,0.394811713
800448,0.095299003
800449,0.111619465
800450,0.201123628
800451,0.202831808
800452,0.10816248
800453,0.094171784
800454,0.110942955
800455,0.198728287
800456,0.212156739
800457,0.340376541
800458,0.110147959
800459,0.197006689
800460,0.495093321
800461,0.56098341
800462,0.077150849
800463,0.074984617
800464,0.203801007
800465,0.140867961
800466,0.183829433
800467,0.026527701
800468,0.20597308
800469,0.403985399
800470,0.221607861
800471,0.308993936
800472,0.182564369
800473,0.035157863
800474,0.464611537
800475,0.111464951
800476,0.213069583
800477,0.318496413
800478,0.262920506
800479,0.129243298
800480,0.189392729
800481,0.131417705
800482,0.366402764
800483,0.095464668
800484,0.188936042
800485,0.137022728
800486,0.171741457
800487,0.299076415
800488,0.566888733
800489,0.102727744
800490,0.320385844
800491,0.093360124
800492,0.05867837
800493,0.481762799
800494,0.555482124
800495,0.022595341
800496,0.046360449
800497,0.493070703
800498,0.263860796
800499,0.401619186
800500,0.662007334
800501,0.09631038
800502,0.09188402
800503,0.16993538
800504,0.125123126
800505,0.19564506
800506,0.184166247
800507,0.091309503
800508,0.081845835
800509,0.031957142
800510,0.072271136
800511,0.21039158
800512,0.108448266
800513,0.198323398
800514,0.21563828
800515,0.065501281
800516,0.327258357
800517,0.144106854
800518,0.086901458
800519,0.092238531
800520,0.180556699
800521,0.051643821
800522,0.024623192
800523,0.102843314
800524,0.038286686
800525,0.285835324
800526,0.459356983
800527,0.116615225
